,track_name,artist,release_date,album,content_id,track_number,album_artist,composer,isrc,spotify_search_track_name,spotify_search_artist,spotify_search_album,spotify_track_uri,spotify_artist_uri,spotify_release_year,spotify_total_tracks,spotify_add_album,spotify_album_uri
3572,9pm (Till I Come),Kasper,,Fucking Good Cheese,,"(15, 16)",ATB,,,9pm,Kasper,Fucking Good Cheese,,,,0,True,
3573,Flaming June (Bt and Pvd Mix),Kasper,,Fucking Good Cheese,,"(13, 16)",BT,,,Flaming June,Kasper,Fucking Good Cheese,,,,0,True,
3575,Bulgarian,Kasper,,Fucking Good Cheese,,"(6, 16)",Travel,,,Bulgarian,Kasper,Fucking Good Cheese,,,,0,True,
3577,Track 16,Kasper,,Fucking Good Cheese,,"(16, 16)",,,,Track 16,Kasper,Fucking Good Cheese,,,,0,True,
3645,A Moment With You,George Michael,1998,Ladies & Gentlemen: The Best Of George Michael [Disc 1],,"(9, 14)",George Michael,George Michael,,A Moment With You,George Michael,Ladies & Gentlemen: The Best Of George Michael,,,1998,0,True,
3646,Don't Let The Sun Down On Me,George Michael,1991,Ladies & Gentlemen: The Best Of George Michael [Disc 1],,"(4, 14)",George Michael & Elton John,"Bernie Taupin, Elton John",,Dont Let The Sun Down On Me,George Michael,Ladies & Gentlemen: The Best Of George Michael,,,1991,0,True,
3711,Help I'm Alive (Radio Edit),Metric,2008,Help I'm Alive - Single,303876195,"(1, 1)",Metric,E. Haines/J. Shaw,,Help Im Alive,Metric,Help Im Alive - Single,,,2008,0,False,
3787,Silver Springs [B-Side],Fleetwood Mac,1976,Rumours - 35th Anniversary Edition [Disc 1],,"(12, 12)",Fleetwood Mac,Stevie Nicks,,Silver Springs,Fleetwood Mac,Rumours - 35th Anniversary Edition,,,1976,0,True,
3909,Soulfire,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(9, 10)",Lab 4,,,Soulfire,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3910,Concept Of Love,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(6, 10)",Lab 4,,,Concept Of Love,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3911,Replicant,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(8, 10)",Lab 4,,,Replicant,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3912,F8,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(2, 10)",Lab 4,,,F8,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3913,The Creator,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(3, 10)",Lab 4,,,The Creator,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3914,Funknow,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(4, 10)",Lab 4,,,Funknow,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3915,F9,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(5, 10)",Lab 4,,,F9,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3916,Intro,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(1, 10)",Lab 4,,,Intro,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3917,Candyman,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(10, 10)",Lab 4,,,Candyman,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3918,The Witch,Lab 4,2001,VIRUS [Disc 2] Tokyo Live,,"(7, 10)",Lab 4,,,The Witch,Lab 4,VIRUS Tokyo Live,,,2001,0,True,
3919,Be My Lover,Lab 4,2002,Virus [Disc 1],,"(2, 10)",Lab 4,,,Be My Lover,Lab 4,Virus,,,2002,0,False,
3920,The Creator,Lab 4,2002,Virus [Disc 1],,"(3, 10)",Lab 4,,,The Creator,Lab 4,Virus,,,2002,0,False,
3921,Pure Kaos,Lab 4,2002,Virus [Disc 1],,"(10, 10)",Lab 4,,,Pure Kaos,Lab 4,Virus,,,2002,0,False,
3922,I Need Your Love,Lab 4,2002,Virus [Disc 1],,"(7, 10)",Lab 4,,,I Need Your Love,Lab 4,Virus,,,2002,0,False,
3923,Place Goes Boom,Lab 4,2002,Virus [Disc 1],,"(4, 10)",Lab 4,,,Place Goes Boom,Lab 4,Virus,,,2002,0,False,
3924,Play With The Pain,Lab 4,2002,Virus [Disc 1],,"(1, 10)",Lab 4,,,Play With The Pain,Lab 4,Virus,,,2002,0,False,
3925,Replicant,Lab 4,2002,Virus [Disc 1],,"(6, 10)",Lab 4,,,Replicant,Lab 4,Virus,,,2002,0,False,
3926,Resurrection,Lab 4,2002,Virus [Disc 1],,"(8, 10)",Lab 4,,,Resurrection,Lab 4,Virus,,,2002,0,False,
3927,The Bitch,Lab 4,2002,Virus [Disc 1],,"(5, 10)",Lab 4,,,The Bitch,Lab 4,Virus,,,2002,0,False,
3928,The 4th Floor,Lab 4,2002,Virus [Disc 1],,"(9, 10)",Lab 4,,,The 4th Floor,Lab 4,Virus,,,2002,0,False,
